Data;Godzina;RCE
20230121;17;579.55
20230121;18;574.93
20230121;19;570.98
20230121;20;540.3
20230121;21;543.68
20230121;22;516.45
20230121;23;536.71
20230121;24;493.21
20230122;1;513.8
20230122;2;472.29
20230122;3;469.01
20230122;4;455.76
20230122;5;461.17
20230122;6;470.35
20230122;7;498.61
20230122;8;513.79
20230122;9;549.29
20230122;10;577.41
20230122;11;630.22
20230122;12;650.72
20230122;13;681.7
20230122;14;656.32
20230122;15;702.91
20230122;16;675.38
20230122;17;730.38
20230122;18;704.78
20230122;19;767.82
20230122;20;682.51
20230122;21;707.47
20230122;22;622.69
20230122;23;636.97
20230122;24;569.8
20230123;1;676.86
20230123;2;658.37
20230123;3;662.28
20230123;4;660.52
20230123;5;670.79
20230123;6;701.79
20230123;7;837.28
20230123;8;970.94
20230123;9;1�044.11
20230123;10;1�052.72
20230123;11;1�038.15
20230123;12;996.06
20230123;13;971.97
20230123;14;964.62
20230123;15;958.06
20230123;16;956.65
20230123;17;999.27
20230123;18;1�029.62
20230123;19;984.25
20230123;20;956.63
20230123;21;941.22
20230123;22;875.07
20230123;23;813.21
20230123;24;718.95
20230124;1;784
20230124;2;742.14
20230124;3;740.35
20230124;4;719.84
20230124;5;741.4
20230124;6;777.04
20230124;7;853.25
20230124;8;949.73
20230124;9;1�001.19
20230124;10;1�004.57
20230124;11;981.83
20230124;12;970.52
20230124;13;962.1
20230124;14;962.27
20230124;15;955.88
20230124;16;957.04
20230124;17;968.28
20230124;18;972.9
20230124;19;959.54
20230124;20;971.12
20230124;21;915.35
20230124;22;844.03
20230124;23;801.26
20230124;24;744.18
20230125;1;750.59
20230125;2;740.53
20230125;3;742.71
20230125;4;727.92
20230125;5;729.42
20230125;6;768.55
20230125;7;829.67
20230125;8;927.22
20230125;9;966.02
20230125;10;963.25
20230125;11;951.05
20230125;12;931.58
20230125;13;920.14
20230125;14;916.51
20230125;15;923.18
20230125;16;931.9
20230125;17;945.61
20230125;18;944.51
20230125;19;943.09
20230125;20;928.75
20230125;21;867.4
20230125;22;796.99
20230125;23;795.46
20230125;24;721.98
20230126;1;709.72
20230126;2;688.13
20230126;3;686.06
20230126;4;673.58
20230126;5;700.78
20230126;6;734.05
20230126;7;788.32
20230126;8;881.53
20230126;9;928.57
20230126;10;926.14
20230126;11;913.43
20230126;12;905.66
20230126;13;886.16
20230126;14;889.96
20230126;15;885.47
20230126;16;887.78
20230126;17;916.68
20230126;18;901.95
20230126;19;908.86
20230126;20;872.71
20230126;21;819.07
20230126;22;743.68
20230126;23;760.56
20230126;24;692.48
20230127;1;696.32
20230127;2;681.87
20230127;3;656.3
20230127;4;649.95
